id,proveedor,pagina,imagen,nombre_original,url
AIM-P001-001,Designs Aimari,1,AIM-P001-001.jpg,Jersey Youngla USA Concept Black Red,https://media.designsaimari.com/products/cmtyowarc4zqtla01rjz2lgsa/previews/1789235971729-c4d78109-a6dc-453b-911b-a2d9a06b1f67.jpg
AIM-P001-002,Designs Aimari,1,AIM-P001-002.jpg,Sport fishing,https://media.designsaimari.com/products/cmtymfgnn54toqi01ahxuqg4z/previews/1789231835854-1104b039-495e-45c1-a31e-36b85461c8d4.jpg
AIM-P001-003,Designs Aimari,1,AIM-P001-003.jpg,Pastoral Juvenil Celeste,https://media.designsaimari.com/products/cmtyjy8un549aqi01nmzbrleq/previews/1789227659651-937d37e5-dfdb-4298-9617-2a65cd942afa.jpg
AIM-P001-004,Designs Aimari,1,AIM-P001-004.jpg,Jersey Dregrade Blue,https://media.designsaimari.com/products/cmtyj8qgi4yhnla0141afdkhs/previews/1789226471969-096b260a-2878-4883-a77f-a61b3edc5235.jpg
AIM-P001-005,Designs Aimari,1,AIM-P001-005.jpg,Hexagono Sports,https://media.designsaimari.com/products/cmtyhm9x953qxqi01lnohwifh/previews/1789223741860-700ddbc6-6871-40cf-a0cb-f392efcd1672.jpg
AIM-P001-006,Designs Aimari,1,AIM-P001-006.jpg,Paint Sports,https://media.designsaimari.com/products/cmtygz7z953mbqi01xxsb0mgz/previews/1789222666607-b97ec190-a3fe-4191-ab81-71773a444064.jpg
AIM-P001-007,Designs Aimari,1,AIM-P001-007.jpg,PSIS Semarang 2026-27,https://media.designsaimari.com/products/cmtxj59cc4zf2qi01dzl8sna5/previews/1789165851925-c4f5772d-982d-44d1-940c-cabccd8c292b.jpg
AIM-P001-008,Designs Aimari,1,AIM-P001-008.jpg,Aguilas Doradas,https://media.designsaimari.com/products/cmtxiptlz4zblqi01g0tydegw/previews/1789165130208-ac5ba6bd-8552-4d6a-8e10-49f566d0d6e1.jpg
AIM-P001-009,Designs Aimari,1,AIM-P001-009.jpg,Colegio Montessori,https://media.designsaimari.com/products/cmtxi6n3o4t7tla01wx35l22z/previews/1789231875801-4be5bc75-b211-42b3-b520-224f678ef6eb.jpg
AIM-P001-010,Designs Aimari,1,AIM-P001-010.jpg,Jersey Millonarios Blue,https://media.designsaimari.com/products/cmtxhrw744t0rla017bh530k2/previews/1789163537383-18a24b0d-31a9-4432-912a-45cd4442fa10.jpg
AIM-P001-011,Designs Aimari,1,AIM-P001-011.jpg,Cobay,https://media.designsaimari.com/products/cmtxgykaf4yt5qi010zfryj84/previews/1789162169022-eb2d6d9a-e8cf-4163-96f6-9995499afcb8.jpg
AIM-P001-012,Designs Aimari,1,AIM-P001-012.jpg,Lion Orange,https://media.designsaimari.com/products/cmtxf5t2r4s30la01oa6f5htn/previews/1789159147652-ec129928-1894-4e85-a933-3e0f3df0f712.jpg
AIM-P001-013,Designs Aimari,1,AIM-P001-013.jpg,Mapaches Design Celeste,https://media.designsaimari.com/products/cmtxd8xll4xe5qi01lj9f20be/previews/1789155934582-f0a18932-df7a-45e9-8054-e8200b09b2cb.jpg
AIM-P001-014,Designs Aimari,1,AIM-P001-014.jpg,UNION FEMENINA FC,https://media.designsaimari.com/products/cmtxd1h8a4x94qi01ghacfdy5/previews/1789155586943-35e30476-0e6a-44a3-8a95-748d1dc83771.jpg
