caso,id_correcto,posicion,id_resultado,score,juicio,quien,fecha
BANRURAL,,3,AIM-P240-005,0.5911,no_sirve,kevin,2026-09-15T10:03:30
FRANCE,,1,AIM-P046-025,0.8029,no_sirve,kevin,2026-09-15T10:40:32
FRANCE,,2,AIM-P140-046,0.7702,sirve,kevin,2026-09-15T10:40:42
FRANCE,,5,AIM-P226-055,0.6804,sirve,kevin,2026-09-15T10:40:44
FRANCE,,4,AIM-P218-052,0.6992,sirve,kevin,2026-09-15T10:40:45
FRANCE,,3,AIM-P013-031,0.754,sirve,kevin,2026-09-15T10:40:46
BANRURAL,,2,AIM-P137-036,0.7922,sirve,kevin,2026-09-15T10:40:53
BANRURAL,,1,AIM-P046-025,0.8029,sirve,kevin,2026-09-15T10:40:55
BANRURAL,,4,AIM-P148-051,0.7399,no_sirve,kevin,2026-09-15T10:40:58
BANRURAL,,5,AIM-P067-024,0.6738,no_sirve,kevin,2026-09-15T10:40:59
LA GUAIRA,,1,AIM-P241-056,0.8182,sirve,kevin,2026-09-15T10:43:21
LA GUAIRA,,2,AIM-P094-013,0.8081,no_sirve,kevin,2026-09-15T10:43:22
LA GUAIRA,,3,AIM-P050-013,0.7779,no_sirve,kevin,2026-09-15T10:43:26
LA GUAIRA,,4,AIM-P020-025,0.771,sirve,kevin,2026-09-15T10:43:27
LA GUAIRA,,5,AIM-P171-029,0.761,sirve,kevin,2026-09-15T10:43:28
LISIADOS,,1,AIM-P246-057,0.7936,sirve,kevin,2026-09-15T11:09:06
LISIADOS,,2,AIM-P020-025,0.7695,sirve,kevin,2026-09-15T11:09:07
LISIADOS,,3,AIM-P095-052,0.703,sirve,kevin,2026-09-15T11:09:09
LISIADOS,,4,AIM-P071-053,0.6617,sirve,kevin,2026-09-15T11:09:10
LISIADOS,,5,AIM-P180-023,0.5914,sirve,kevin,2026-09-15T11:09:12
LOS INCREDIBLES,,1,AIM-P087-023,0.7709,acierto,kevin,2026-09-15T11:11:16
LOS INCREDIBLES,,2,AIM-P096-043,0.7034,sirve,kevin,2026-09-15T11:11:18
LOS INCREDIBLES,,3,AIM-P251-048,0.7001,sirve,kevin,2026-09-15T11:11:20
LOS INCREDIBLES,,4,AIM-P099-034,0.674,sirve,kevin,2026-09-15T11:11:22
LOS INCREDIBLES,,5,AIM-P200-028,0.6556,sirve,kevin,2026-09-15T11:11:23
