caso,id_correcto,posicion,id_resultado,score,juicio,quien,fecha
BANRURAL,BANRURAL,1,AIM-P030-056,0.6112,Sirve,Andres y Samir,2026-09-21 14:14:54
BANRURAL,BANRURAL,2,AIM-P106-003,0.6092,No sirve,Andres y Samir,2026-09-21 14:14:55
BANRURAL,BANRURAL,3,AIM-P098-042,0.6,No sirve,Andres y Samir,2026-09-21 14:14:55
BANRURAL,BANRURAL,4,AIM-P065-009,0.595,No sirve,Andres y Samir,2026-09-21 14:14:56
BANRURAL,BANRURAL,5,AIM-P196-037,0.5917,No sirve,Andres y Samir,2026-09-21 14:14:57
FRANCE,FRANCE,1,AIM-P128-059,0.699,Sirve,Andres y Samir,2026-09-21 14:15:03
FRANCE,FRANCE,2,AIM-P223-049,0.6951,Sirve,Andres y Samir,2026-09-21 14:15:04
FRANCE,FRANCE,3,AIM-P223-055,0.6951,Sirve,Andres y Samir,2026-09-21 14:15:05
FRANCE,FRANCE,4,AIM-P251-024,0.6894,Sirve,Andres y Samir,2026-09-21 14:15:07
FRANCE,FRANCE,5,AIM-P015-021,0.6799,Sirve,Andres y Samir,2026-09-21 14:15:10
LA GUAIRA,LA GUAIRA,1,AIM-P050-013,0.7471,Sirve,Andres y Samir,2026-09-21 14:15:34
LA GUAIRA,LA GUAIRA,2,AIM-P250-060,0.7135,No sirve,Andres y Samir,2026-09-21 14:15:35
LA GUAIRA,LA GUAIRA,3,AIM-P094-013,0.6742,No sirve,Andres y Samir,2026-09-21 14:15:36
LA GUAIRA,LA GUAIRA,4,AIM-P253-015,0.6734,No sirve,Andres y Samir,2026-09-21 14:15:36
LA GUAIRA,LA GUAIRA,5,AIM-P015-006,0.6689,No sirve,Andres y Samir,2026-09-21 14:15:37
LISIADOS,LISIADOS,1,AIM-P114-053,0.6734,Sirve,Andres y Samir,2026-09-21 14:16:46
LISIADOS,LISIADOS,2,AIM-P050-013,0.6687,No sirve,Andres y Samir,2026-09-21 14:16:49
LISIADOS,LISIADOS,4,AIM-P150-045,0.6616,No sirve,Andres y Samir,2026-09-21 14:16:51
LISIADOS,LISIADOS,3,AIM-P254-037,0.6641,No sirve,Andres y Samir,2026-09-21 14:16:51
LISIADOS,LISIADOS,5,AIM-P106-031,0.6614,No sirve,Andres y Samir,2026-09-21 14:16:52
LOS INCREDIBLES,LOS INCREDIBLES,1,AIM-P030-056,0.697,Sirve,Andres y Samir,2026-09-21 14:16:55
LOS INCREDIBLES,LOS INCREDIBLES,2,AIM-P065-009,0.6867,No sirve,Andres y Samir,2026-09-21 14:16:56
LOS INCREDIBLES,LOS INCREDIBLES,3,AIM-P016-054,0.6681,No sirve,Andres y Samir,2026-09-21 14:16:57
LOS INCREDIBLES,LOS INCREDIBLES,4,AIM-P033-006,0.6397,No sirve,Andres y Samir,2026-09-21 14:16:57
LOS INCREDIBLES,LOS INCREDIBLES,5,AIM-P196-037,0.6364,No sirve,Andres y Samir,2026-09-21 14:16:58
MBAPE tirado,MBAPE tirado,1,AIM-P199-058,0.5899,No sirve,Andres y Samir,2026-09-21 14:17:20
MBAPE tirado,MBAPE tirado,2,AIM-P171-015,0.5724,No sirve,Andres y Samir,2026-09-21 14:17:21
MBAPE tirado,MBAPE tirado,3,AIM-P247-010,0.5696,No sirve,Andres y Samir,2026-09-21 14:17:22
MBAPE tirado,MBAPE tirado,4,AIM-P057-003,0.5691,Sirve,Andres y Samir,2026-09-21 14:17:23
MBAPE tirado,MBAPE tirado,5,AIM-P090-050,0.5663,No sirve,Andres y Samir,2026-09-21 14:17:23
MayasFC,MayasFC,1,AIM-P096-002,0.694,Sirve,Andres y Samir,2026-09-21 14:17:39
MayasFC,MayasFC,2,AIM-P240-001,0.6551,No sirve,Andres y Samir,2026-09-21 14:17:41
MayasFC,MayasFC,3,AIM-P188-044,0.6496,No sirve,Andres y Samir,2026-09-21 14:17:43
MayasFC,MayasFC,4,AIM-P126-014,0.648,No sirve,Andres y Samir,2026-09-21 14:17:44
MayasFC,MayasFC,5,AIM-P196-037,0.6454,No sirve,Andres y Samir,2026-09-21 14:17:45
SemenoSports,SemenoSports,1,AIM-P253-031,0.6316,Sirve,Andres y Samir,2026-09-21 14:17:48
SemenoSports,SemenoSports,2,AIM-P253-044,0.6272,Sirve,Andres y Samir,2026-09-21 14:17:48
SemenoSports,SemenoSports,3,AIM-P125-022,0.6212,Sirve,Andres y Samir,2026-09-21 14:17:49
SemenoSports,SemenoSports,4,AIM-P254-037,0.6205,No sirve,Andres y Samir,2026-09-21 14:17:50
SemenoSports,SemenoSports,5,AIM-P253-015,0.6107,No sirve,Andres y Samir,2026-09-21 14:17:51
Sports,Sports,1,AIM-P028-002,0.7502,No sirve,Andres y Samir,2026-09-21 14:17:55
Sports,Sports,2,AIM-P059-009,0.7496,Sirve,Andres y Samir,2026-09-21 14:17:56
Sports,Sports,3,AIM-P108-011,0.7445,Sirve,Andres y Samir,2026-09-21 14:17:58
Sports,Sports,4,AIM-P065-047,0.7324,Sirve,Andres y Samir,2026-09-21 14:17:59
Sports,Sports,5,AIM-P115-008,0.7239,No sirve,Andres y Samir,2026-09-21 14:18:00
SportsPatron,SportsPatron,1,AIM-P108-011,0.7001,Acierto,Andres y Samir,2026-09-21 14:18:02
SportsPatron,SportsPatron,2,AIM-P065-047,0.6975,Sirve,Andres y Samir,2026-09-21 14:18:04
SportsPatron,SportsPatron,3,AIM-P097-028,0.6727,No sirve,Andres y Samir,2026-09-21 14:18:06
SportsPatron,SportsPatron,4,AIM-P228-053,0.6613,Sirve,Andres y Samir,2026-09-21 14:18:07
SportsPatron,SportsPatron,5,AIM-P159-053,0.6522,No sirve,Andres y Samir,2026-09-21 14:18:08
YMAL tirado,YMAL tirado,1,AIM-P154-033,0.6846,Acierto,Andres y Samir,2026-09-21 14:18:10
YMAL tirado,YMAL tirado,2,AIM-P187-039,0.6806,Sirve,Andres y Samir,2026-09-21 14:18:11
YMAL tirado,YMAL tirado,3,AIM-P101-033,0.6628,Sirve,Andres y Samir,2026-09-21 14:18:12
YMAL tirado,YMAL tirado,4,AIM-P188-033,0.657,Sirve,Andres y Samir,2026-09-21 14:18:12
YMAL tirado,YMAL tirado,5,AIM-P153-059,0.6567,Sirve,Andres y Samir,2026-09-21 14:18:14
