consulta,top1,top2,top3,top4,top5
C_01_Barcelona.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_02_Real-Madrid.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_03_Universitario.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_04_Alianza-Lima.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_05_Sporting-Cristal.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_06_Peru.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_07_Brazil.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_08_Argentina.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_09_Manchester-City.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
C_10_AC-Milan.jpg,CODIGO,CODIGO,CODIGO,CODIGO,CODIGO
