caso_id,tipo,posicion,id_resultado,juicio,score,timestamp
caso_01,sin_marco,1,AIM-P167-054,sirve,0.6681,2026-09-21T00:03:53Z
caso_01,sin_marco,2,AIM-P170-046,no_sirve,0.6637,2026-09-21T00:04:32Z
caso_01,sin_marco,3,AIM-P199-054,no_sirve,0.6574,2026-09-21T00:05:00Z
caso_01,sin_marco,4,AIM-P197-020,no_sirve,0.6534,2026-09-21T00:07:03Z
caso_01,sin_marco,5,AIM-P240-014,sirve,0.6528,2026-09-21T00:07:32Z
caso_02,sin_marco,1,AIM-P198-017,sirve,0.6436,2026-09-21T00:08:43Z
caso_02,sin_marco,2,AIM-P198-017,sirve,0.6456,2026-09-21T00:08:55Z
caso_02,sin_marco,3,AIM-P079-005,sirve,0.6428,2026-09-21T00:09:13Z
caso_02,sin_marco,4,AIM-P002-001,no_sirve,0.6332,2026-09-21T00:10:35Z
caso_02,sin_marco,5,AIM-P247-044,no_sirve,0.6294,2026-09-21T00:11:30Z
caso_03,con_marco,4,AIM-P003-003,acierto,0.6739,2026-09-21T00:12:33Z
caso_03,con_marco,5,AIM-P057-054,no_sirve,0.6717,2026-09-21T00:12:40Z
caso_03,con_marco,2,AIM-P224-036,no_sirve,0.6852,2026-09-21T00:12:48Z
caso_03,con_marco,1,AIM-P051-048,sirve,0.6858,2026-09-21T00:12:57Z
caso_03,con_marco,3,AIM-P223-037,sirve,0.6841,2026-09-21T00:13:02Z
caso_04,sin_marco,1,AIM-P077-016,acierto,0.6957,2026-09-21T00:13:22Z
caso_04,sin_marco,2,AIM-P029-034,acierto,0.6753,2026-09-21T00:13:31Z
caso_04,sin_marco,3,AIM-P143-038,acierto,0.6676,2026-09-21T00:14:20Z
caso_04,sin_marco,4,AIM-P136-029,acierto,0.6666,2026-09-21T00:14:54Z
caso_04,sin_marco,5,AIM-P072-036,acierto,0.6588,2026-09-21T00:14:59Z
caso_05,sin_marco,1,AIM-P095-042,acierto,0.5112,2026-09-21T00:15:24Z
caso_05,sin_marco,2,AIM-P130-027,sirve,0.4846,2026-09-21T00:15:31Z
caso_05,sin_marco,3,AIM-P091-022,acierto,0.4694,2026-09-21T00:15:46Z
caso_05,sin_marco,4,AIM-P062-029,no_sirve,0.4667,2026-09-21T00:15:53Z
caso_05,sin_marco,5,AIM-P166-056,no_sirve,0.4652,2026-09-21T00:15:59Z
caso_06,sin_marco,2,AIM-P088-010,sirve,0.6166,2026-09-21T00:16:38Z
caso_06,sin_marco,1,AIM-P062-029,no_sirve,0.62,2026-09-21T00:16:46Z
caso_06,sin_marco,3,AIM-P010-035,no_sirve,0.6122,2026-09-21T00:16:53Z
caso_06,sin_marco,4,AIM-P156-002,no_sirve,0.6074,2026-09-21T00:16:58Z
caso_06,sin_marco,5,AIM-P061-021,sirve,0.6056,2026-09-21T00:17:04Z
caso_07,con_marco,2,AIM-P249-022,no_sirve,0.7213,2026-09-21T00:18:39Z
caso_07,con_marco,5,AIM-P224-036,no_sirve,0.7101,2026-09-21T00:18:47Z
caso_07,con_marco,4,AIM-P057-054,no_sirve,0.7104,2026-09-21T00:18:56Z
caso_07,con_marco,3,AIM-P120-040,no_sirve,0.7187,2026-09-21T00:19:04Z
caso_07,con_marco,1,AIM-P079-005,no_sirve,0.7585,2026-09-21T00:19:19Z
caso_08,con_marco,1,AIM-P134-057,acierto,0.7266,2026-09-21T00:19:58Z
caso_08,con_marco,2,AIM-P214-033,no_sirve,0.724,2026-09-21T00:20:02Z
caso_08,con_marco,3,AIM-P025-044,no_sirve,0.7169,2026-09-21T00:20:06Z
caso_08,con_marco,4,AIM-P033-003,no_sirve,0.7166,2026-09-21T00:20:11Z
caso_08,con_marco,5,AIM-P150-047,acierto,0.7144,2026-09-21T00:20:16Z
caso_09,con_marco,1,AIM-P025-044,no_sirve,0.7526,2026-09-21T00:20:33Z
caso_09,con_marco,2,AIM-P057-054,no_sirve,0.702,2026-09-21T00:20:38Z
caso_09,con_marco,3,AIM-P196-026,no_sirve,0.6998,2026-09-21T00:20:43Z
caso_09,con_marco,4,AIM-P054-016,no_sirve,0.6993,2026-09-21T00:20:50Z
caso_09,con_marco,5,AIM-P224-036,no_sirve,0.6964,2026-09-21T00:20:53Z
caso_10,sin_marco,5,AIM-P155-051,no_sirve,0.6337,2026-09-21T00:21:17Z
caso_10,sin_marco,4,AIM-P103-021,no_sirve,0.6362,2026-09-21T00:21:31Z
caso_10,sin_marco,3,AIM-P246-005,no_sirve,0.6451,2026-09-21T00:21:47Z
caso_10,sin_marco,2,AIM-P198-022,sirve,0.6596,2026-09-21T00:22:03Z
caso_10,sin_marco,1,AIM-P197-020,sirve,0.6701,2026-09-21T00:22:24Z
